Molecule_ChEMBL_ID,Smiles,Standard_Value,Unit
CHEMBL4533762,CN(C)c1ccc(C(Nc2ccc(NC(c3ccc(N(C)C)cc3)n3nc(-c4cc(=O)oc5ccccc45)oc3=S)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)cc1,70,nM
CHEMBL4467305,CN(C)c1ccc(C(Nc2ccc(-c3ccc(NC(c4ccc(N(C)C)cc4)n4nc(-c5cc(=O)oc6ccccc56)oc4=S)cc3)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)cc1,70,nM
CHEMBL4552230,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5ccc(Br)cc5)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3ccc(Br)cc3)c(=S)o2)c2ccccc2o1,70,nM
CHEMBL4468873,Cc1ccc(C(Nc2ccc(NC(c3ccc(C)cc3)n3nc(-c4cc(=O)oc5ccccc45)oc3=S)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)cc1,70,nM
CHEMBL4448033,O=c1cc(-c2nn(C(Nc3ccc(-c4ccc(NC(c5ccc(Cl)cc5Cl)n5nc(-c6cc7ccccc7oc6=O)oc5=S)cc4)cc3)c3ccc(Cl)cc3Cl)c(=S)o2)c2ccccc2o1,70,nM
CHEMBL4547928,Cc1ccc(C(Nc2ccc(Oc3ccc(NC(c4ccc(C)cc4)n4nc(-c5cc6ccccc6oc5=O)oc4=S)cc3)cc2)n2nc(-c3cc4ccccc4oc3=O)oc2=S)cc1,70,nM
CHEMBL2051982,C[C@H]1C[C@@H](O)[C@H](O)[C@@H](O)[C@H]1N[C@H]1C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]1O,70,nM
CHEMBL2051981,CO[C@H]1O[C@H](CO)[C@@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,72,nM
CHEMBL4531736,Cc1ccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)cc1C,90,nM
CHEMBL4516968,O=C(N/N=C1\S/C(=C\c2ccc(F)cc2)C(=O)N1c1ccc(Cl)cc1)c1cc2ccccc2oc1=O,90,nM
CHEMBL4457539,COc1ccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)cc1,90,nM
CHEMBL4589823,Cc1cccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)c1,90,nM
CHEMBL4591646,Cc1cc(C)cc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)c1,90,nM
CHEMBL4475313,O=C(N/N=C1\S/C(=C\c2ccc(F)cc2)C(=O)N1c1ccccc1Cl)c1cc2ccccc2oc1=O,90,nM
CHEMBL4561204,Cc1ccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)c(C)c1,90,nM
CHEMBL4469426,COc1cccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)c1,90,nM
CHEMBL4463785,COc1ccccc1N1C(=O)/C(=C/c2ccc(F)cc2)S/C1=N\NC(=O)c1cc2ccccc2oc1=O,90,nM
CHEMBL4127059,Cc1ccc(N2C(=O)/C(=C/c3ccc(F)cc3)S/C2=N\NC(=O)c2cc3ccccc3oc2=O)cc1,90,nM
CHEMBL4441658,Cc1ccccc1N1C(=O)/C(=C/c2ccc(F)cc2)S/C1=N\NC(=O)c1cc2ccccc2oc1=O,90,nM
CHEMBL4557506,Cc1cccc(C)c1N1C(=O)/C(=C/c2ccc(F)cc2)S/C1=N\NC(=O)c1cc2ccccc2oc1=O,90,nM
CHEMBL4468394,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)cc(Cl)c4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)cc(Cl)c4)cc23)cc1,100,nM
CHEMBL4450153,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4Cl)cc23)cc1,100,nM
CHEMBL4444058,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4Br)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccccc4Br)cc23)cc1,100,nM
CHEMBL4442767,Cc1cccc(C(=O)/N=c2\scc(C)n2-c2cc(Cl)c(Cl)cc2Cl)c1,100,nM
CHEMBL4457996,COc1ccc(C(=O)/N=c2\scc(C)n2-c2cc(Cl)c(Cl)cc2Cl)cc1,100,nM
CHEMBL4444856,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)ccc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cc(Cl)ccc4Cl)cc23)cc1,100,nM
CHEMBL4526576,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)cc4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)cc4Cl)cc23)cc1,100,nM
CHEMBL4535006,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Br)cc4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Br)cc4)cc23)cc1,100,nM
CHEMBL4543754,Cc1cs/c(=N\C(=O)c2ccccc2Cl)n1-c1cc(Cl)c(Cl)cc1Cl,100,nM
CHEMBL4465117,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)c(Cl)c4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(Cl)c(Cl)c4)cc23)cc1,100,nM
CHEMBL4443277,Cc1cs/c(=N\C(=O)c2cc3ccccc3oc2=O)n1-c1cc(Cl)c(Cl)cc1Cl,100,nM
CHEMBL4476028,Cc1cs/c(=N\C(=O)c2ccco2)n1-c1cc(Cl)c(Cl)cc1Cl,100,nM
CHEMBL4459920,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(C)cc4)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4ccc(C)cc4)cc23)cc1,100,nM
CHEMBL4592050,Cc1ccc(C(c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cccc(Cl)c4Cl)cc23)c2c[nH]c3ccc(C(=O)NNS(=O)(=O)c4cccc(Cl)c4Cl)cc23)cc1,100,nM
CHEMBL3349437,OC[C@@]1(O)C[C@H](NCCc2ccccc2)[C@H](O)[C@@H](O)[C@@H]1O,100,nM
CHEMBL2051759,CO[C@H]1O[C@H](CO)[C@H](N[C@H]2C[C@](O)(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1O,100,nM
CHEMBL75971,CN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,120,nM
CHEMBL4440783,Cc1ccccc1C(=O)/N=c1\scc(C)n1-c1cc(Cl)c(Cl)cc1Cl,150,nM
CHEMBL4456568,Cc1cs/c(=N\C(=O)c2cccc3ccccc23)n1-c1cc(Cl)c(Cl)cc1Cl,150,nM
CHEMBL3814496,O=[N+]([O-])c1ccccc1CO[C@@H](CO)[C@H](O)C[S+]1C[C@@H](O)[C@H](O)[C@H]1CO.[Cl-],150,nM
CHEMBL4470451,CCn1c2ccccc2c2cc(NC(=O)CSc3nc4ccccc4[nH]3)ccc21,170,nM
CHEMBL3354062,OC[C@@H]1[C@@H](O)[C@H](O)[C@@H](O)CN1CCCCCOCc1ccccc1-c1ccccc1,200,nM
